system:index,area_ha,rango,variable,.geo
0,17977.414276644908,1,slope_range,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,11153.912352368818,2,slope_range,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1682.097951839286,3,slope_range,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,289.70260285558373,4,slope_range,"{""type"":""MultiPoint"",""coordinates"":[]}"
