system:index,VH_before,VH_event,VV_before,VV_event,VV_minus_VH_event,class,dVH_event_before,dVV_event_before,elevation,random,slope,.geo
27,-14.55373,-14.393774,-7.4241743,-8.609366,5.7844076,0,0.15995558,-1.1851926,3.0,0.5041742521787704,3.8667831,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.82863467886126,9.35402230624396]}"
28,-17.78833,-18.157166,-12.505235,-10.163061,7.9941044,0,-0.3688355,2.3421738,51.0,0.8895915708885348,3.370263,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.93158161042136,9.17130497745405]}"
29,-16.427021,-18.660965,-11.319847,-13.528095,5.132869,0,-2.2339423,-2.2082481,77.0,0.7719055039482056,2.0942638,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.50658864950441,9.118753533333058]}"
30,-17.304983,-16.727575,-10.806817,-14.147583,2.5799918,0,0.5774092,-3.3407655,43.0,0.315275532176596,2.9604354,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.79818179072961,8.607791799725874]}"
31,-16.50933,-18.378616,-11.788491,-10.779764,7.5988526,0,-1.8692871,1.0087265,48.0,0.6518302197624238,4.661308,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.08573251317627,8.643365084977006]}"
32,-14.834993,-16.195635,-8.2111025,-10.148636,6.046999,0,-1.3606417,-1.9375331,0.0,0.16469638836136757,1.32043,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.79845128531484,9.419239995871038]}"
33,-13.366962,-15.607525,-9.337283,-9.86333,5.744196,0,-2.2405627,-0.5260462,34.0,0.24396412854779703,1.3201171,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.58366410088186,9.256195771803345]}"
34,-15.008615,-17.427137,-9.380035,-12.893643,4.5334935,0,-2.4185226,-3.513608,56.0,0.05735402793329647,5.8521104,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.067137386795,8.519667070353748]}"
35,-15.944369,-14.807476,-8.645838,-10.882722,3.9247534,0,1.1368935,-2.2368848,12.0,0.2230309199681334,2.078044,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.83294659222503,8.850875915608617]}"
36,-18.268076,-18.177307,-12.798676,-13.306089,4.8712177,0,0.09076792,-0.5074139,73.0,0.7119566622049771,1.3194233,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.03722348783381,8.883215265836919]}"
37,-14.538594,-15.336874,-7.9440084,-9.629873,5.7070003,0,-0.7982796,-1.685865,7.0,0.6505543476136394,2.0779574,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.74886428163144,8.77514793715734]}"
38,-14.184618,-16.333189,-7.086745,-11.501697,4.8314915,0,-2.1485703,-4.4149523,155.0,0.36240334754637304,7.500786,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.1385534518825,8.736071222298142]}"
39,-15.138378,-17.361776,-10.412482,-10.417888,6.9438887,0,-2.2233987,-0.0054058046,26.0,0.8701937422448266,2.0922537,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.72299280144881,8.681363821495262]}"
40,-12.973066,-14.446906,-6.754503,-8.602833,5.8440733,0,-1.4738396,-1.8483304,4.0,0.5039015088087101,2.0949316,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.97497023864433,9.259429706826175]}"
